SNO,Indent No,Mat Code,Heat No,Wagon No,Bundle No
461,230672,1.51E+14,2303295,SECR94141358175 ,15M2000230065
462,230672,1.51E+14,2303295,SECR94141358175 ,15M2000230063
463,230672,1.51E+14,2303292,SECR94141358175 ,15M2000230061
464,230672,1.51E+14,2303295,SECR94141358175 ,15M2000230066
465,230672,4.71E+14,23D00905,NR55030121539   ,47B0000443453
466,230672,4.71E+14,23D00905,NR55030121539   ,47B0000443457
467,230672,4.71E+14,23D00896,NR55030121539   ,47B0000443428
468,230672,4.71E+14,23D00905,NR55030121539   ,47B0000443469
469,230672,4.71E+14,23D00896,NR55030121539   ,47B0000443427
470,230672,4.71E+14,23D00905,NR55030121539   ,47B0000443476
471,230672,4.71E+14,23D00905,NR55030121539   ,47B0000443466
472,230672,4.71E+14,23D00905,NR55030121539   ,47B0000443464
473,230672,4.71E+14,23D00905,NR55030121539   ,47B0000443472
474,230672,4.71E+14,23D00896,NR55030121539   ,47B0000443422
475,230672,1.51E+14,2303299,NCR94131363349  ,15M2000230082
476,230672,1.51E+14,2303299,NCR94131363349  ,15M2000230079
477,230672,1.51E+14,,NCR94131363349  ,15M2000230076
478,230672,1.51E+14,2303299,NCR94131363349  ,15M2000230073
479,230672,1.51E+14,2303299,NCR94131363349  ,15M2000230078
480,230672,1.51E+14,2303299,NCR94131363349  ,15M2000230075
481,230672,1.51E+14,2303299,NCR94131363349  ,15M2000230081
482,230672,1.51E+14,2303299,NCR94131363349  ,15M2000230074
483,230672,1.51E+14,,NCR94131363349  ,15M2000230080
484,230672,1.51E+14,2303299,NCR94131363349  ,15M2000230077
